query_id,answer
88,1951 3467 4234 4532 4308 1901 4214 3861 4366 4362
89,1951 3467 4234 1901 4308 4214 4286 4328 4532 4396
90,4219 2865 1966 2646 4384 4400 2696 4406 3844 3567
91,2646 4219 4214 4234 4308 4396 2698 4387 4362 1951
92,4234 1951 4328 4214 4362 3467 2646 4532 4308 4219
93,4387 4219 4384 2646 4400 1966 2865 4403 4532 2408
94,3147 2062 3260 4411 2061 4110 4419 3431 2058 4404
95,1951 3467 4328 4234 4286 4320 4396 4308 1907 2698
96,4219 4400 1966 2865 2646 4384 4387 4403 1958 4234
97,4400 2646 1966 4403 1958 4219 2865 2408 4387 4407
98,1951 4234 3467 4214 2646 4532 4362 2698 4446 1907
99,4219 4387 2646 4400 1966 2865 1958 4384 4440 4403
100,4328 4286 4396 1951 3436 1907 4234 3467 4308 4446
101,4219 4400 1966 2865 2646 4384 2696 4387 4403 4407
102,4451 4214 2698 3150 4366 4447 3552 4395 3055 4219
103,4219 2646 4389 4384 4440 2943 3565 2220 4214 4361
104,4219 2865 1966 4400 2646 4384 4387 1958 4361 4440
105,4219 2646 4384 4440 3077 2865 1966 3078 4361 3470
106,4219 2646 4389 4361 4440 4308 3565 2943 4234 2865
107,1909 4234 4328 4286 4396 1907 1918 1958 3419 4219
108,1951 2646 4219 4308 2943 4234 4389 4440 4361 2698
109,4361 2646 4234 4219 2865 1966 4308 1909 1951 4406
110,4219 2646 4308 4384 2865 4328 4389 3565 4361 4234
111,4219 2646 4361 4387 4384 2865 4389 4233 2943 4440
112,4400 4219 2646 2865 1966 4384 2696 4440 4406 4387
113,1951 4234 4214 2646 4446 2698 3467 4219 4331 3265
114,4395 4219 2646 4214 4389 3026 4424 4387 4384 3078
115,4395 4454 4526 1842 4424 4523 4214 4333 2665 1909
116,4219 2646 4389 4440 3565 4384 2943 4308 4396 2865
117,4234 1909 4396 4328 4308 1951 4286 1899 1918 1907
118,4219 4389 4440 2646 4384 3565 2865 3078 2521 2943
119,2646 4219 4234 4308 1951 4384 4214 3077 1966 3078
120,4219 2646 4384 4361 4440 2943 1966 4389 2865 3470
121,4219 4440 4384 2646 1966 2865 4389 4387 3078 4361
122,4451 2698 4214 3478 3467 1951 4366 2213 3774 3314
123,4219 4400 2646 2865 4361 1966 4387 2696 4384 4403
124,4219 4361 2646 1909 4328 1951 4234 1966 4214 4400
125,4219 4440 4384 4387 2646 2865 1966 1958 2943 2521
126,4328 4396 4286 1907 1909 4308 3436 4045 4234 1951
127,2646 4219 4361 2865 4234 4384 4214 1966 2943 4308
128,4219 1966 4400 2646 2865 4384 2696 4387 4403 4407
129,4400 4219 4328 4308 4286 2831 4408 4396 1960 4234
130,4234 4403 4219 4308 1951 2646 4400 4361 2865 2698
131,4440 2894 2220 2968 2696 2288 2886 3552 3128 4005
132,4234 1909 4285 4400 4332 4219 2646 4308 4396 4286
133,4308 4234 2646 4219 1951 1958 1909 4214 2698 4361
134,1909 4328 4234 4308 4396 4219 4446 4178 4362 2646
135,4387 4219 4384 2646 4400 2865 1966 2408 4403 2696
136,4219 1966 2646 2865 4384 4400 2696 3470 2866 4403
137,4308 4219 4234 1909 2646 4403 4214 4396 4400 4361
138,3147 3151 2857 4109 2062 2060 2886 3256 4110 4419
139,4219 4308 2646 4234 1909 1951 4384 4396 4214 1958
140,4395 4219 2646 2865 1966 4214 4424 4389 3026 4400
141,4234 1909 4328 4308 4396 1907 4219 1901 1958 4387
142,4219 2865 2646 1966 4384 4400 4387 2696 4406 1958
143,1951 4308 4320 3467 4234 4214 4366 3861 2698 4396
144,4219 4389 2646 4440 3565 4384 4308 3127 2943 4234
145,1951 4234 4214 2698 4362 3467 1901 4396 4308 2646
146,1951 2646 4219 4234 3467 4308 2698 4320 4361 4286
147,4219 1966 2646 2865 4387 4384 4440 3470 4361 4400
148,4219 2865 2646 1966 4384 4400 2696 4406 3844 4403
149,2865 4219 2646 4400 1966 4384 1958 2696 4403 3844
150,4423 4283 4445 4234 2222 2661 4219 4440 4395 1966
151,4400 2646 2865 4219 1966 4403 4384 4407 2408 3844
152,4219 2646 4387 1966 2865 4384 4361 2943 4440 2866
153,1907 4328 1909 4396 4234 4286 4308 1901 4362 3467
154,4328 4396 4286 4234 3436 1907 1909 4362 3467 4308
155,4400 2646 4219 2865 1966 4384 4403 4387 2408 4407
156,4219 4400 2865 1966 2646 4384 4387 4403 1958 2696
157,4219 1966 4384 4400 2865 2646 2696 4440 2866 2894
158,1951 3467 4214 4234 4320 2698 2665 4308 3861 4362
159,4219 2646 2865 1966 4384 4400 2696 4406 1958 3844
160,4234 1909 4396 4328 4308 4362 1910 4446 4329 4331
161,2665 4214 3553 4398 2646 2698 4231 4219 4234 4331
162,4219 2646 2865 1966 4384 4400 2696 3844 3470 4509
163,4286 1951 4234 4328 4214 4396 4308 2646 3467 4362
164,4400 2646 4219 2865 4234 1966 2886 3254 4440 2696
165,2646 4219 2865 1966 4440 3470 4361 4384 4389 3078
166,4234 1951 3467 4362 1909 4308 4396 4328 1899 4219
167,4219 4400 1966 2865 2646 4403 4384 4387 2831 1958
168,4234 1951 2698 4403 4308 1958 4361 4214 2646 4532
169,4400 4219 2865 1966 2646 4384 4403 1951 2696 4532
170,4219 1958 4387 4400 2865 1966 2646 1918 4384 4361
171,4440 4219 2894 4389 2696 2886 2220 2942 4008 3254
172,4219 2646 4384 4361 4440 4389 2865 1966 4308 4387
173,4440 2894 2886 3254 2696 3128 3643 2220 2646 4389
174,1907 4234 4328 1909 4396 4308 4400 4214 4219 4286
175,4451 4214 2698 4227 4447 3478 3314 4290 4366 4440
176,4440 4219 4389 2865 4361 2646 1966 2866 2943 4394
177,1951 2646 4320 4214 4219 4234 2232 2698 3467 4396
178,1951 3467 4320 2911 2232 4366 2698 4214 3861 4234
179,3028 4423 4364 4232 4318 4372 4207 2908 3536 2910
180,4219 2646 4389 4440 4308 4283 3565 4214 4285 4384
181,4389 3565 4219 2646 4440 4384 2943 4394 4308 4361
182,4219 2646 4361 4234 2865 4384 1951 1958 1909 4440
183,1951 4214 2698 3467 4234 4308 4532 2646 4362 4219
184,4219 2865 1966 2646 4400 4384 3844 2696 4361 4406
185,1951 4214 3467 2911 4320 2232 2902 4319 4308 4366
186,4440 3254 4389 2894 2886 4219 2220 3128 2244 4375
187,4400 4219 2831 4403 2865 1966 4234 4308 4407 4387
188,4400 4219 2865 1966 2646 4403 4234 4361 2831 4387
189,4219 4400 2865 2646 1966 2696 2408 3844 4407 4361
190,1951 4361 4440 4219 4234 4214 3467 2698 4204 2646
191,1951 4234 2646 4214 4532 2943 2698 3467 4361 4219
192,4328 4286 1958 1909 4396 4387 1951 1907 4234 4219
193,4400 2646 1958 4387 4403 1966 4219 2865 4407 2408
194,1951 3467 4286 4234 4328 1907 4396 4308 3861 2698
195,4395 4219 2646 4214 4424 4389 3026 4440 4384 2865
196,4219 4387 2646 4384 2865 1966 4400 1958 2944 2521
197,4389 4219 2646 4440 3565 4384 1951 3564 2943 3127
198,1951 3467 4214 4320 4308 4234 2232 2911 4532 4446
199,4219 4361 2865 4384 4234 2646 4406 1958 3844 1966
200,4219 1966 4400 2865 2646 4387 4403 4384 2696 2866
201,4400 4219 4387 2865 4403 2646 1958 2696 4384 1966
202,4219 4389 2646 4440 4384 3565 2943 4308 4396 1951
203,4219 4387 2646 4384 1966 2865 4400 4440 2696 2944
204,4234 1909 4328 4308 4396 2646 1958 3265 4286 1951
205,1951 4219 4234 2646 4214 4361 2865 2943 4308 2698
206,4219 4308 2646 4389 4234 4396 4283 4384 4403 2511
207,4219 2646 4214 4395 3026 4424 2665 2698 4234 1901
208,4219 4387 2865 1966 2646 4400 4384 2521 1958 2408
209,1951 2646 4234 3467 4361 4308 4214 2943 4331 4286
210,4234 2646 4361 1909 4219 2865 4308 1966 4400 1951
211,4219 2646 4384 1966 2865 4400 4406 4361 3844 2521
212,4328 4286 4234 4396 1907 1951 4308 1901 3436 3467
213,4219 4440 2646 4384 3565 4389 4308 1966 2865 3078
214,4395 4219 2646 4384 1966 4214 2865 4424 4400 4389
215,4234 1909 4328 4219 4396 3419 4308 1907 4286 1951
216,4440 2222 4273 4283 3254 2898 2663 4433 4266 4234
217,4451 4214 2698 4219 2646 4366 2665 3314 4447 3478
218,4219 2646 4389 4384 4361 4440 4406 1966 2943 2865
219,4219 2646 4389 4440 1958 4384 4308 4387 4396 3565
220,4440 2894 2220 2696 2886 2288 2942 3254 4389 4008
221,4389 4219 3565 4440 2646 4384 2943 4396 2521 4387
222,1951 3467 4234 4396 1907 4286 4214 1909 4361 4308
223,4219 4389 2646 4440 4384 3565 2943 1951 4396 4308
224,4400 4219 4387 1966 2865 2831 4403 4384 2646 4308
225,4440 2908 2910 4372 4423 4234 4219 4008 2222 1958
226,2908 4372 4307 4318 4440 2222 4423 4371 4234 3777
227,4328 4396 1907 4286 3436 1909 4234 1901 3467 3419
228,2865 4219 1966 2646 4400 4384 3844 2696 4406 2408
229,4219 1966 1958 2646 2865 4384 4400 4387 4440 4361
230,4400 4219 2865 4387 2646 1966 4403 4384 4361 2696
231,4328 4234 4308 4286 4396 1909 1951 1907 4219 2646
232,4219 4387 2646 2865 4384 1966 4400 1958 4407 2521
233,1951 4214 4234 4532 2698 3467 3128 2646 2665 4308
234,4219 4308 4389 2646 4440 4396 4384 1958 4387 3843
235,4387 4219 2646 2865 4384 4361 1966 4400 3567 4509
236,4400 4219 2865 2646 1966 4403 4387 2944 4361 3168
237,2646 4396 4219 4328 1909 4234 4308 4384 4214 1907
238,4328 4234 4396 4286 1909 1901 1918 3467 1907 1951
239,4423 4364 4232 2908 2910 4207 4318 2693 4440 4372
240,4328 4286 4396 1907 3436 1901 1951 4234 1909 4308
241,1907 4396 4328 4234 4286 1951 1909 4308 3467 4219
242,4214 4234 4219 4328 4403 2698 4396 4308 4362 4387
243,4219 4361 2646 2865 4384 4389 3844 4406 1958 4440
244,1951 3467 4234 4214 4320 2646 4366 2698 4532 4219
245,4219 4387 2646 4384 2865 1966 4509 4400 3567 4532
246,4219 4400 2865 1966 2646 4403 2831 4407 4384 2408
247,4219 4387 2646 4361 2865 4384 1966 2943 4440 2521
248,4440 2222 4283 4273 2968 2886 3254 2663 2894 2661
249,4219 1966 4384 2646 4387 2865 3078 4361 3470 4400
250,1951 4308 3467 2911 4214 4320 2232 4234 3861 2902
251,4219 4400 4384 2865 4387 1966 4403 4328 2646 4308
252,4440 2894 3254 2886 4389 2696 3643 2220 3128 2254
253,1909 4234 4328 4308 4396 4219 2646 3265 4446 4331
254,1951 3467 4214 2911 4234 4308 2232 4320 4286 2698
255,1958 1909 4219 4396 4009 4384 4283 3843 2646 4234
256,4219 2865 1966 4400 2646 4407 4361 1958 4384 3844
257,3889 4320 4286 4234 4361 4328 4369 2928 4523 4526
258,4234 4308 1909 1951 4331 2665 4362 4446 2646 1910
259,4219 4400 2865 1966 4384 2646 4387 4403 2408 2943
260,1951 4234 3467 4308 1909 4320 4219 4361 4214 2646
261,4219 4400 2865 1966 4387 2646 4384 4407 1958 2408
262,1951 4396 4286 4234 4532 4328 4403 2646 4214 4308
263,4133 2095 4276 3993 3858 4224 4134 2197 2887 2895
264,4361 4387 4384 2646 4219 2202 4440 4254 4324 1954
265,4219 4387 2646 4384 1966 2865 4440 2696 2866 2521
266,4451 4214 2698 3995 4366 3478 4234 4308 1951 2665
267,4400 4219 2865 1966 4387 4403 2646 2831 1958 4384
268,4234 1909 4328 4308 3265 4396 1951 4362 4446 4331
269,4451 4214 2698 4308 4361 2665 3862 4400 4234 4219
270,4219 2646 4234 4361 4308 1951 4389 4320 4403 4384
271,4328 1909 4396 4234 1907 4286 4308 4446 3436 4386
272,4219 2646 2865 1966 4384 4387 1958 4406 3844 4400
273,1951 3467 4234 4320 4308 4532 3861 4396 4328 1899
274,4396 1909 1951 4308 4234 4328 4387 3467 4219 4214
275,2646 4219 4361 2865 4234 4384 1966 3077 3078 4440
276,4219 4387 2646 4384 4400 1966 2865 2943 4361 1958
277,4451 4214 2698 4276 4440 4460 4447 4008 4242 4366
278,4328 4396 1907 4286 1909 4234 3467 3436 1951 2462
279,4328 4396 4286 1907 1909 3436 4234 4308 3419 3209
280,4219 2646 2865 4400 1966 4384 4387 4440 4396 4403
281,4440 4389 4219 2646 4396 2943 3565 2222 4384 4361
282,4219 2646 4234 4384 4361 4400 4308 2865 4331 1909
283,4328 4308 4234 1909 4396 1951 4214 4286 4219 1958
284,4440 2222 2968 2663 4008 2204 3932 2217 2203 4420
285,2698 4214 3995 4234 4308 2665 3467 1951 4362 1909
286,4328 4234 1909 1907 4396 4308 4286 3265 1951 4362
287,2928 4224 3734 3591 3592 4307 3596 4328 4308 4234
288,4219 4440 4214 4389 2646 2962 1958 2865 4397 1966
289,4219 2511 4009 4234 2646 3843 4308 4400 4361 1951
290,4219 4234 4308 1951 2646 4403 4361 4396 4532 4384
291,4219 1966 2646 2865 4400 4384 4387 1958 4403 2408
292,4219 2865 4400 1966 2646 4361 4403 2696 4387 3844
293,4219 2646 4389 4384 3565 4308 4440 4361 4233 4234
294,4219 4395 2646 4387 4384 1966 4389 4214 2865 4424
295,4219 4400 1966 2865 4403 4384 2646 2831 4387 4407
296,1951 4308 4219 4234 2646 4214 4320 2232 3467 2698
297,4308 4234 4219 2646 4396 1909 1951 4328 4384 1958
298,4219 1966 2865 4400 2696 2646 4406 3844 2894 1958
299,4361 2943 4219 1966 4384 2646 3470 2037 2865 4234
300,4234 4308 4219 2646 1951 1909 4328 4384 4396 4214
301,4219 2865 2646 4361 4440 1958 4234 2943 1951 4387
302,2222 4440 4307 4134 2217 4008 2968 4266 4354 2663
303,4328 4396 4286 1907 4234 1909 4308 3467 1899 1901
304,4219 2646 4361 4384 3015 4234 4308 1951 3467 4440
305,4214 2698 4234 1951 4396 4362 4328 1901 3265 4286
306,4234 4328 1909 4396 1951 4219 3467 4308 4286 1899
307,2222 4307 3784 4134 4266 3051 4440 4316 4008 2794
308,1951 4286 3467 4328 4396 4234 4308 4366 4532 1899
309,4440 2220 2894 2968 2204 3932 3254 2886 2254 2222
310,1951 2646 4214 3467 1901 4396 4308 4286 4532 4362
311,4219 2646 2865 1966 4400 4384 4407 3844 4406 2696
312,4234 4308 4219 2646 1909 4396 4328 4362 4214 3265
313,4234 1951 4219 4308 4214 4362 2646 4396 4400 4328
314,4396 4308 4234 4214 2698 4328 1899 4362 1951 1909
315,1951 4308 3467 2232 4214 4320 2911 4234 4319 2698
316,4400 4219 4387 1966 4403 2646 2865 1958 4384 4361
317,4234 1909 4308 4328 4396 1907 1918 4286 1901 2698
318,4219 2646 4387 4384 1966 2865 4440 2696 4509 3567
319,4234 1909 4308 1951 1958 4328 1907 3467 4362 4396
320,4361 4384 4219 4233 2646 4333 4440 2865 2943 4312
321,4328 4396 4308 4286 1909 4219 1907 3436 4234 1918
322,2202 1909 4384 4400 4234 1958 2831 4328 2646 4219
323,4219 1966 4400 2646 4384 2865 2696 2886 2894 4387
324,4219 4400 2865 1958 2646 1966 4387 4384 2944 2521
325,4400 4219 1966 4384 2646 4387 2865 4389 4440 1958
326,4328 4396 4286 3436 1907 4234 1909 4308 4446 1951
327,4219 2646 4361 4331 4384 2865 4389 4387 4440 4308
328,4009 2511 3843 2646 4219 4234 1909 4308 4361 1923
329,4219 4400 4387 1966 2865 2646 4384 4234 4440 3470
330,1951 4214 3467 4308 4532 4219 4320 2911 2646 4234
331,4219 2646 4440 4389 1951 4384 3565 3078 4395 3077
332,4234 4214 1951 2698 4308 4451 2646 4424 2665 4366
333,1951 4234 4320 3861 4308 2232 3467 4214 2646 1901
334,4214 4219 4387 4400 2698 4403 2665 4451 1951 2646
335,1951 3467 4308 1901 4532 1899 4396 4234 4286 4366
336,4234 4308 4328 1909 4396 1951 1958 3265 2646 4219
337,4219 4234 2646 1909 4400 4308 2865 1966 4440 4361
338,4214 4219 4234 2698 1951 4532 4403 2646 4362 4308
339,4214 2698 4451 1951 2665 4234 4308 4361 4366 4396
340,4224 2222 4440 4451 4307 4222 2681 4198 4375 3254
341,4219 4387 2646 4384 2865 1966 4440 2696 2944 2521
342,4361 4162 4153 4234 4050 1951 4045 4530 4400 2922
343,4219 2646 4384 2865 4440 4387 2521 4389 4361 1966
344,2646 4219 4234 4384 1951 4214 4361 4440 4308 4389
345,4219 4361 2646 2865 4400 4440 4389 1966 4384 4387
346,4219 4445 1909 2865 4423 4232 1958 4387 4400 4440
347,4400 4219 4403 1958 4387 1966 2865 2646 2696 4384
348,4440 4395 4219 2646 4384 4389 1958 4387 4214 2944
349,4361 2646 4219 4384 4440 4389 2943 1966 3565 2865
350,4219 2865 1966 2646 4400 4384 2696 4406 3470 3844
351,4219 4387 4400 1966 2646 2865 4403 4384 4361 2831
352,4400 4214 4234 4308 2865 1966 4219 2698 2646 1951
353,3147 4110 2062 3261 2060 4205 2857 4109 4411 4404
354,1909 4234 4396 4308 4328 1951 3467 1899 4286 4362
355,4219 4384 2646 4440 4387 1966 2865 2962 4389 3567
356,4234 1909 4328 4308 4396 4362 2646 1907 4446 1951
357,4219 4234 2646 1909 1951 4308 4328 4361 4362 4389
358,4219 2646 4234 1951 4361 2865 4308 1909 4214 4440
359,4219 4400 1966 2865 4387 2646 4384 4403 2866 4407
360,1951 4234 4308 3265 3467 4214 4219 4361 1958 4328
361,2665 4214 1909 4395 3553 4398 2698 4396 4231 1958
362,4361 4219 4400 1958 2646 4384 4234 4387 1951 2865
363,4219 2865 1966 2646 4384 2696 4406 3844 4400 3567
364,4328 1907 4396 1909 4308 4286 4234 1901 1951 1918
365,4440 2222 2968 4008 4420 2663 2415 2202 4287 2794
366,4219 2865 4400 4361 2646 4384 4234 1966 4406 4403
367,4219 1966 4384 2646 4234 4361 3470 2865 4440 1909
368,4234 2698 4308 1951 4214 4396 1910 1907 4219 2646
369,4328 4234 1909 4308 4396 1907 4362 1951 3265 4446
370,4234 1951 2646 3467 4308 4214 4403 1907 4219 4362
371,4440 4451 2222 2886 3254 4273 4307 2894 4389 2663
372,4396 1951 4234 3467 1909 1958 4328 4400 4219 4308
373,4234 4308 3265 1909 4446 1910 1951 2646 2665 4331
374,4400 4219 4234 2865 2646 4308 1966 4403 1951 1958
375,1951 3467 2646 4214 4532 4234 2698 4219 4320 2232
376,4219 2865 2646 1966 4400 4384 2696 4406 1958 2408
377,4219 2646 4234 4361 1951 3564 2865 4532 4308 4400
378,4234 4308 1909 2646 1951 4396 3265 3467 4328 4362
379,4219 2865 4384 4440 1966 2646 4389 4400 4361 4387
380,4219 2646 4400 1966 2865 4403 4384 2408 4387 2696
381,4219 2865 4400 2646 1966 4361 4384 3844 3567 4509
382,4286 4328 4396 1909 4234 4403 4400 4308 4219 1907
383,2202 2222 4440 4307 4318 4433 4134 2928 2886 4234
384,4234 4308 1909 2646 4219 4446 1951 4331 3467 4362
385,1951 3467 4320 4214 2646 4308 4532 4219 2232 4234
386,4219 1966 4384 2865 4400 4387 3470 3078 2646 4440
387,1951 3467 4320 2698 4234 3168 4308 4214 4366 2944
388,4440 4219 4361 2646 4389 2865 3565 2943 1966 4384
389,4234 1951 2698 4308 4403 4214 3467 2646 4396 4361
390,4308 4318 2908 2222 4372 2910 4371 4307 1909 4328
391,4234 4396 1909 4308 2698 4361 4328 4286 4403 1951
392,4234 1909 4328 4308 4396 1951 1907 3265 3467 4362
393,4219 2646 1951 4440 4214 3565 4389 2220 4308 3564
394,1951 3467 4286 4214 4308 1901 4320 4234 4396 2911
395,4440 2220 4337 4389 3643 3128 4008 2942 2217 2222
396,4219 2646 4214 4389 4395 4384 4440 3026 3565 3007
397,1951 4234 4308 2646 4214 4361 2698 3467 4219 4396
398,4395 4454 3992 4528 4361 4523 1842 4521 2665 4333
399,4219 2646 1966 2865 4400 4384 2696 4387 2866 3470
400,4395 4219 2646 4214 4389 4440 4424 3026 4384 2288
401,4400 4219 2865 2646 1966 4387 1958 4403 4384 2943
402,4451 4214 2698 4447 2665 4227 4290 4440 3478 2204
403,4219 2865 1966 2646 4384 4400 2696 3844 4387 4403
404,4219 1966 2865 2646 4400 4384 3470 4361 3567 3078
405,4234 4328 1909 4396 4286 4308 1951 3467 4219 1901
406,4219 4400 4387 4384 2865 2646 4403 1966 2831 2408
407,4328 4286 4396 4308 4234 3436 1909 1907 3265 4362
408,4234 1909 4361 4219 2646 4308 4384 2865 4406 1951
409,4234 1909 4396 4328 1951 4308 4286 1899 1918 1958
410,4234 4219 4361 4308 2646 1951 1909 4403 1966 4400
411,4400 4403 4219 2646 4361 4387 4234 1958 2865 4396
412,4395 4219 2646 4214 4389 4440 3026 4424 4387 4384
413,4328 1909 4234 4396 4308 1907 4446 1910 4362 4331
414,4440 2222 4318 2908 2968 2663 4423 4307 2794 2253
415,4234 4328 1909 4308 4396 1951 1907 3265 4286 4446
416,4219 2646 2865 1966 4387 4400 4440 2944 1958 2802
417,3147 4451 4214 2062 4411 2698 2061 4219 4387 4110
418,1951 4234 1907 1909 4219 4361 4396 4328 4308 3467
419,4219 4400 4387 2646 4384 1966 3470 2865 4403 3078
420,4219 2646 1966 4384 2865 4440 4361 3470 4406 4234
421,4400 4219 2865 4387 1966 4403 2646 4384 4234 4532
422,4308 4234 2646 4219 1909 4396 1951 1958 4331 4387
423,4219 4440 4384 2646 1966 2865 4389 2962 1958 2521
424,2865 4219 4400 2646 1958 4361 4234 1966 4308 4384
425,1951 2646 4234 2943 1901 4308 4361 2698 4219 3467
426,4219 4440 4389 4384 2646 2962 1966 4387 2865 1958
427,1951 3467 4308 4234 4286 4396 4328 1899 4532 4219
428,4234 4308 1909 1951 4362 2665 2646 1910 4331 3265
429,1951 3467 4396 1907 4328 4308 4234 4320 4286 3861
430,4219 4400 2646 1966 2865 4384 4387 1958 4403 4407
431,4219 2865 1966 2646 4384 4400 3844 2696 4406 4361
432,1951 4308 2698 2943 3467 4320 4361 4214 4219 2646
433,1951 4234 4219 2646 4308 1923 3467 4009 1909 4328
434,4219 2646 4009 4396 2511 3843 1958 4387 4389 4400
435,4219 4361 2865 2646 4234 4308 4400 1958 1909 4406
436,4387 4400 4219 4308 4403 4396 4234 1958 4532 1960
437,4219 2646 4384 2865 4387 1966 4400 4308 2962 3567
